"","code","name","name_ascii","id"
"2357","MZ.05","Sofala","Sofala",1026804
"2358","MZ.07","Niassa","Niassa",1030006
"2359","MZ.06","Nampula","Nampula",1033354
"2360","MZ.04","Maputo","Maputo",1040649
"2361","MZ.10","Manica","Manica",1040947
"2362","MZ.03","Inhambane","Inhambane",1045110
"2363","MZ.02","Gaza","Gaza",1046058
"2364","MZ.01","Cabo Delgado","Cabo Delgado",1051823
"2365","MZ.11","Maputo City","Maputo City",1105845
"2366","NA.28","Zambezi","Zambezi",1090052
"2367","NA.21","Khomas","Khomas",3352137
"2368","NA.29","Erongo","Erongo",3371199
"2369","NA.30","Hardap","Hardap",3371200
"2370","NA.31","Karas","Karas",3371201
"2371","NA.32","Kunene","Kunene",3371202
"2372","NA.33","Ohangwena","Ohangwena",3371203
"2373","NA.35","Omaheke","Omaheke",3371205
"2374","NA.36","Omusati","Omusati",3371206
"2375","NA.37","Oshana","Oshana",3371207
"2376","NA.38","Oshikoto","Oshikoto",3371208
"2377","NA.39","Otjozondjupa","Otjozondjupa",3371209
"2378","NA.40","Kavango East","Kavango East",8693188
"2379","NA.41","Kavango West","Kavango West",8693189
"2380","NC.02","South Province","South Province",2140464
"2381","NC.01","North Province","North Province",2140685
"2382","NC.03","Loyalty Islands","Loyalty Islands",7521415
"2383","NE.07","Zinder","Zinder",2437797
"2384","NE.06","Tahoua","Tahoua",2439374
"2385","NE.04","Maradi","Maradi",2441289
"2386","NE.03","Dosso","Dosso",2445486
"2387","NE.02","Diffa","Diffa",2445702
"2388","NE.01","Agadez","Agadez",2448083
"2389","NE.09","Tillabéri","Tillaberi",2595293
"2390","NE.08","Niamey","Niamey",2595294
"2391","NG.51","Sokoto","Sokoto",2322907
"2392","NG.50","Rivers","Rivers",2324433
"2393","NG.49","Plateau","Plateau",2324828
"2394","NG.32","Oyo","Oyo",2325190
"2395","NG.48","Ondo","Ondo",2326168
"2396","NG.16","Ogun","Ogun",2327546
"2397","NG.31","Niger","Niger",2328925
"2398","NG.05","Lagos","Lagos",2332453
"2399","NG.30","Kwara","Kwara",2332785
"2400","NG.24","Katsina","Katsina",2334797
"2401","NG.29","Kano","Kano",2335196
"2402","NG.23","Kaduna","Kaduna",2335722
"2403","NG.28","Imo","Imo",2337542
"2404","NG.22","Cross River","Cross River",2345891
"2405","NG.27","Borno","Borno",2346794
"2406","NG.26","Benue","Benue",2347266
"2407","NG.46","Bauchi","Bauchi",2347468
"2408","NG.25","Anambra","Anambra",2349961
"2409","NG.21","Akwa Ibom","Akwa Ibom",2350813
"2410","NG.11","FCT","FCT",2352776
"2411","NG.45","Abia","Abia",2565340
"2412","NG.36","Delta","Delta",2565341
"2413","NG.35","Adamawa","Adamawa",2565342
"2414","NG.37","Edo","Edo",2565343
"2415","NG.47","Enugu","Enugu",2565344
"2416","NG.39","Jigawa","Jigawa",2565345
"2417","NG.52","Bayelsa","Bayelsa",2595344
"2418","NG.53","Ebonyi","Ebonyi",2595345
"2419","NG.54","Ekiti","Ekiti",2595346
"2420","NG.55","Gombe","Gombe",2595347
"2421","NG.56","Nassarawa","Nassarawa",2595348
"2422","NG.57","Zamfara","Zamfara",2595349
"2423","NG.40","Kebbi","Kebbi",2597363
"2424","NG.41","Kogi","Kogi",2597364
"2425","NG.42","Osun","Osun",2597365
"2426","NG.43","Taraba","Taraba",2597366
"2427","NG.44","Yobe","Yobe",2597367
"2428","NI.15","Rivas","Rivas",3617051
"2429","NI.14","Río San Juan","Rio San Juan",3617056
"2430","NI.13","Nueva Segovia","Nueva Segovia",3617458
"2431","NI.12","Matagalpa","Matagalpa",3617707
"2432","NI.11","Masaya","Masaya",3617722
"2433","NI.10","Managua","Managua",3617762
"2434","NI.09","Madriz","Madriz",3617796
"2435","NI.08","León","Leon",3618029
"2436","NI.07","Jinotega","Jinotega",3618928
"2437","NI.06","Granada","Granada",3619135
"2438","NI.05","Estelí","Esteli",3619193
"2439","NI.04","Chontales","Chontales",3620368
"2440","NI.03","Chinandega","Chinandega",3620380
"2441","NI.02","Carazo","Carazo",3620481
"2442","NI.01","Boaco","Boaco",3620673
"2443","NI.17","North Caribbean Coast","North Caribbean Coast",3830307
"2444","NI.18","South Caribbean Coast","South Caribbean Coast",3830308
"2445","NL.11","South Holland","South Holland",2743698
"2446","NL.10","Zeeland","Zeeland",2744011
"2447","NL.09","Utrecht","Utrecht",2745909
"2448","NL.15","Overijssel","Overijssel",2748838
"2449","NL.07","North Holland","North Holland",2749879
"2450","NL.06","North Brabant","North Brabant",2749990
"2451","NL.05","Limburg","Limburg",2751596
"2452","NL.04","Groningen","Groningen",2755249
"2453","NL.03","Gelderland","Gelderland",2755634
"2454","NL.02","Friesland","Friesland",2755812
"2455","NL.01","Drenthe","Drenthe",2756631
"2456","NL.16","Flevoland","Flevoland",3319179
"2457","NO.14","Rogaland","Rogaland",3141558
"2458","NO.12","Oslo","Oslo",3143242
"2459","NO.09","Nordland","Nordland",3144301
"2460","NO.08","Møre og Romsdal","More og Romsdal",3145495
"2461","NO.21","Trøndelag","Trondelag",11862827
"2462","NO.30","Viken","Viken",12110595
"2463","NO.42","Agder","Agder",12110596
"2464","NO.54","Troms og Finnmark","Troms og Finnmark",12110597
"2465","NO.34","Innlandet","Innlandet",12110598
"2466","NO.38","Vestfold og Telemark","Vestfold og Telemark",12110599
"2467","NO.46","Vestland","Vestland",12110600
"2468","NP.1","Province 1","Province 1",12095447
"2469","NP.2","Province 2","Province 2",12095448
"2470","NP.3","Province 3","Province 3",12095449
"2471","NP.4","Province 4","Province 4",12095450
"2472","NP.5","Province 5","Province 5",12095451
"2473","NP.6","Karnali Pradesh","Karnali Pradesh",12095452
"2474","NP.7","Sudurpashchim Pradesh","Sudurpashchim Pradesh",12095453
"2475","NR.14","Yaren","Yaren",2110418
"2476","NR.13","Uaboe","Uaboe",2110420
"2477","NR.12","Nibok","Nibok",2110423
"2478","NR.11","Meneng","Meneng",2110431
"2479","NR.10","Ijuw","Ijuw",2110432
"2480","NR.09","Ewa","Ewa",2110435
"2481","NR.08","Denigomodu","Denigomodu",2110437
"2482","NR.07","Buada","Buada",2110440
"2483","NR.06","Boe","Boe",2110441
"2484","NR.05","Baiti","Baiti",2110442
"2485","NR.04","Anibare","Anibare",2110445
"2486","NR.03","Anetan","Anetan",2110448
