Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Germany,GER,Hamburg,HH,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Hesse,HE,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Lower Saxony,NI,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,North Rhine-Westphalia,NW,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Rhineland-Palatinate,RP,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Saarland,SL,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Saxony-Anhalt,ST,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Schleswig-Holstein,SH,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Thuringia,TH,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,,,"1,00",Border Closing,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,GER,,,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,GER,,,"1,00",Social Distancing Encouraged,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,GER,Baden-Württemberg,BW,"1,00",School Closings,,17.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,,,"1,00",Public Talk of Central Govt Figure,Merkel,18.3.2020,,,
Germany,GER,Brandenburg,BB,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Mecklenburg-Vorpommern,MV,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Saxony,SN,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,GER,Bavaria,BY,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Germany,GER,Baden-Württemberg,BW,"0,02",Curfew (Lockdown of All Non-Essential Public Life),,21.3.2020,,https://www.fr.de/panorama/coronavirus-pandemie-deutschland-angela-merkel-haelt-rede-zr-13604049.html,Freiburg/Breisgau
Germany,GER,Saarland,SL,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,21.3.2020,,https://www.spiegel.de/politik/deutschland/coronavirus-saarland-plant-ausgangsverbote-a-742c87c1-cf02-4512-a17d-a78a3bd4edbf,
Germany,GER,Saxony,SN,"0,13",Curfew (Lockdown of All Non-Essential Public Life),,21.3.2020,,https://www.wochenkurier.info/corona-virus/artikel/dresden-verhaengt-ausgangssperre-75602/,Dresden
Iran,IRN,,,"1,00",First Death,,19.2.2020,,https://www.cnbc.com/2020/02/19/two-iranians-die-after-testing-positive-for-coronavirus.html,
Iran,IRN,,,"0,50",School Closings,,22.2.2020,4.3.2020,https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html,Only Partial and only Partially enforced
Iran,IRN,,,"0,50",University Closings,,22.2.2020,4.3.2020,https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html,Only Partial and only Partially enforced
Iran,IRN,,,"1,00",Cancelation of Large Events,,22.2.2020,,https://en.radiofarda.com/a/iranian-doctors-call-for-long-holiday-to-contain-coronavirus-outbreak/30449047.html,
Iran,IRN,,,"1,00",School Closings,,5.3.2020,,https://www.bbc.co.uk/news/world-middle-east-51760563,
Iran,IRN,,,"1,00",University Closings,,5.3.2020,,https://www.bbc.co.uk/news/world-middle-east-51760563,
Iran,IRN,,,"1,00","Curfew (Mild, Only Private Public Life)",,13.3.2020,,https://www.theguardian.com/world/2020/mar/13/revolutionary-guards-enforce-coronavirus-controls-iran,
Italy,ITA,Abruzzo,65,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Emilia-Romagna,45,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,Friuli Venezia Giulia,36,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Liguria,42,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Lombardy,25,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,Marche,57,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Piedmont,21,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,Trentino,32,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Trentino Alto-adige,32,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,Veneto,34,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,,,"1,00",Testing only symptomatic,,26.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,ITA,Apulia,75,"1,00",School Closings,,27.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Emilia-Romagna,45,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Lombardy,25,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Veneto,34,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,,,"1,00",School Closings,,4.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,ITA,Lombardy,25,"1,00","Curfew (Mild, Only Private Public Life)",,8.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,"actually includes fourteen provinces in Piedmont, Veneto, Emilia-Romagna, and Marche"
Italy,ITA,,,"1,00","Curfew (Mild, Only Private Public Life)",,9.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Italy,ITA,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,11.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Japan,JPN,,,"1,00",Cancelation of Large Events,1000,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,JPN,,,"1,00",Cluster Tracking and Containment,,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,JPN,,,"1,00",Social Distancing Encouraged,,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,JPN,,,"1,00",School Closings,,2.3.2020,,https://www.straitstimes.com/asia/east-asia/coronavirus-japan-to-close-all-public-schools-for-a-month-starting-march-2,
"Korea, South",KOR,,,"1,00",Cluster Tracking and Containment,,20.1.2020,,https://www.bbc.com/news/world-asia-51836898,
"Korea, South",KOR,,,"1,00",First Death,,20.2.2020,,https://www.nbcnews.com/health/health-news/south-korea-reports-first-coronavirus-death-infections-linked-church-rise-n1139821,
"Korea, South",KOR,,,"1,00",Border Closing,,17.3.2020,,https://www.straitstimes.com/asia/east-asia/skorea-reports-84-new-coronavirus-cases-total-at-8320,
Netherlands,NLD,,,"1,00",First Death,,6.3.2020,,https://nltimes.nl/2020/03/06/first-coronavirus-fatality-netherlands-rotterdam-patient-dead-86,
Netherlands,NLD,,,"1,00",Social Distancing Encouraged,,9.3.2020,,https://nos.nl/artikel/2327099-twee-nieuwe-corona-doden-155-geregistreerde-patienten-erbij.html,
Netherlands,NLD,,,"1,00",Cancelation of Large Events,100,12.3.2020,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Netherlands,NLD,,,"1,00",University Closings,,12.3.2020,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Netherlands,NLD,,,"1,00",Daycare Closings,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NLD,,,"1,00",Restaurant/Bar Closure,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NLD,,,"1,00",School Closings,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NLD,,,"1,00",Public Talk of Central Govt Figure, Prime Minister Mark Rutte,16.3.2020,,https://www.volkskrant.nl/gs-bea83379,
Netherlands,NLD,,,"1,00",Public Talk of Central Govt Figure,King,20.3.2020,,https://nos.nl/l/2327794,
US,USA,Washington,WA,"1,00",Cancelation of Large Events,250,13.3.2020,,https://www.seattletimes.com/education-lab/inslee-announces-all-washington-k-12-schools-to-close-in-an-effort-to-slow-the-spread-of-coronavirus/,
US,USA,Washington,WA,"1,00",School Closings,,13.3.2020,,https://www.seattletimes.com/education-lab/inslee-announces-all-washington-k-12-schools-to-close-in-an-effort-to-slow-the-spread-of-coronavirus/,
US,USA,New York,NY,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,USA,New Jersey,NJ,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,USA,Connecticut,CT,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,USA,New York,NY,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,USA,Connecticut,CT,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,USA,Indiana,18,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Maryland,24,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Michigan,26,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,New Hampshire,33,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,New Jersey,34,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Pennsylvania,42,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,not clear about the date for bar closures
US,USA,Washington,53,"1,00",Restaurant/Bar Closure,,16.3.2020,,"https://www.governor.wa.gov/news-media/inslee-statement-statewide-shutdown-restaurants-bars-and-limits-size-gatherings-expanded, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html",
US,USA,Alabama,1,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,"date of announcement was 2020-03-13, so relevant only from 2020-03-16"
US,USA,Alaska,2,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,"date of announcement was 2020-03-13, so relevant only from 2020-03-16"
US,USA,Arizona,4,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,"date of announcement was 2020-03-13, so relevant only from 2020-03-16"
US,USA,Delaware,10,"1,00",School Closings,,16.3.2020,,https://news.delaware.gov/2020/03/13/governor-carney-directs-two-week-closure-of-delaware-public-schools/,
US,USA,Indiana,18,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Louisiana,22,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Maryland,24,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Michigan,26,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Montana,30,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Nevada,32,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,New Hampshire,33,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,New Mexico,35,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,North Carolina,37,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,North Dakota,38,"1,00",School Closings,,16.3.2020,,https://www.governor.nd.gov/news/burgum-orders-k-12-schools-close-one-week-effort-slow-spread-covid-19,
US,USA,Oregon,41,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Pennsylvania,42,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,not clear about the date for bar closures
US,USA,South Carolina,45,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,South Dakota,46,"1,00",School Closings,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Virginia,51,"1,00",School Closings,,16.3.2020,,https://www.governor.virginia.gov/newsroom/all-releases/2020/march/headline-854442-en.html,
US,USA,Washington,53,"1,00",School Closings,,16.3.2020,,"https://www.governor.wa.gov/news-media/inslee-statement-statewide-shutdown-restaurants-bars-and-limits-size-gatherings-expanded, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html",
US,USA,Hawaii,15,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/,
US,USA,Illinois,17,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Iowa,19,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,not sure if school closure already in place on 16th March
US,USA,Kentucky,21,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=94,
US,USA,Louisiana,22,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://gov.louisiana.gov/index.cfm/newsroom/detail/2411,
US,USA,Massachusetts,25,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Minnesota,27,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,North Carolina,37,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://files.nc.gov/governor/documents/files/EO118.pdf,
US,USA,Oregon,41,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Rhode Island,44,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Vermont,50,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-guidance-covid-19-community-mitigation-measures,
US,USA,Wisconsin,55,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Arkansas,5,"1,00",School Closings,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,USA,Connecticut,9,"1,00",School Closings,,17.3.2020,,https://www.ctpost.com/news/coronavirus/article/Lamont-orders-all-Connecticut-schools-closed-15133136.php,"measure to be put in place at the end of the day 2020-03-16, so effective from 17th"
US,USA,Florida,12,"1,00",School Closings,,17.3.2020,,http://www.fldoe.org/newsroom/latest-news/florida-department-of-education-announces-additional-guidance-for-the-2019-20-school-year.stml,not entirely sure I got the date right
US,USA,Hawaii,15,"1,00",School Closings,,17.3.2020,,https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/,
