Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Germany,DE,Bremen,3,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Hamburg,4,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Hesse,5,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Lower Saxony,6,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,North Rhine-Westphalia,7,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Rhineland-Palatinate,8,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saarland,9,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saxony-Anhalt,14,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Schleswig-Holstein,10,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Thuringia,15,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Baden-Württemberg,1,"1,00",School Closings,,17.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Brandenburg,11,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Mecklenburg-Vorpommern,12,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saxony,13,"1,00",School Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,,,"1,00","Curfew (Mild, Only Private Public Life)",,22.3.2020,,https://www.iamexpat.de/expat-info/german-expat-news/new-coronavirus-restrictions-germany-whats-allowed-and-whats-not,
Germany,DE,,,"1,00",Social Distancing Encouraged,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany#January,
Iran,IR,,,"1,00",Cancelation of Large Events,,22.2.2020,,https://en.radiofarda.com/a/iranian-doctors-call-for-long-holiday-to-contain-coronavirus-outbreak/30449047.html,
Iran,IR,,,"1,00","Curfew (Mild, Only Private Public Life)",,13.3.2020,,https://www.theguardian.com/world/2020/mar/13/revolutionary-guards-enforce-coronavirus-controls-iran,
Iran,IR,,,"0,50",School Closings,,22.2.2020,4.3.2020,https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html,Only Partial and only Partially enforced
Iran,IR,,,"1,00",School Closings,,5.3.2020,,https://www.bbc.co.uk/news/world-middle-east-51760563,
Iran,IR,,,"0,50",University Closings,,22.2.2020,4.3.2020,https://en.radiofarda.com/a/iran-announces-closure-of-universities-schools-to-fight-coronavirus/30449711.html,Only Partial and only Partially enforced
Iran,IR,,,"1,00",University Closings,,5.3.2020,,https://www.bbc.co.uk/news/world-middle-east-51760563,
Italy,IT,,,"1,00",Ban of Group Gatherings,0,9.3.2020,,implied by lockdown,
Italy,IT,,,"1,00",Cancelation of Large Events,0,9.3.2020,,implied by lockdown,
Italy,IT,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,11.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Italy,IT,Lombardy,9,"1,00","Curfew (Mild, Only Private Public Life)",,8.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,"actually includes fourteen provinces in Piedmont, Veneto, Emilia-Romagna, and Marche"
Italy,IT,,,"1,00","Curfew (Mild, Only Private Public Life)",,9.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Italy,IT,,,"1,00",Restaurant/Bar Closure,,11.3.2020,,https://time.com/5801497/italy-shops-restaurants-coronavirus/,
Italy,IT,Abruzzo,1,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Friuli Venezia Giulia,6,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Liguria,8,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Marche,10,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Trentino Alto-adige,17,"1,00",School Closings,,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Apulia,13,"1,00",School Closings,,27.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Emilia-Romagna,45,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Lombardy,9,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,Veneto,20,"1,00",School Closings,,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,,,"1,00",School Closings,,4.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,IT,,,"1,00",Testing only symptomatic,,26.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,IT,Emilia-Romagna,5,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,IT,Lombardy,9,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,IT,Piedmont,12,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,IT,Trentino Alto-adige,17,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,IT,Veneto,20,"1,00",University Closings,,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Japan,JP,,12,"0,04",School Closings,,18.2.2020,1.3.2020,https://www.businessinsider.de/international/coronavirus-japan-hokkaido-infections-lockdown-photos-2020-3/?r=US&IR=T,hokkaido
Japan,JP,,12,"0,04",Restaurant/Bar Closure,,18.2.2020,,https://www.businessinsider.de/international/coronavirus-japan-hokkaido-infections-lockdown-photos-2020-3/?r=US&IR=T,hokkaido
Japan,JP,,,"1,00",Cancelation of Large Events,1000,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,JP,,,"1,00",Cluster Tracking and Containment,,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
Japan,JP,,,"1,00",School Closings,,2.3.2020,,https://www.straitstimes.com/asia/east-asia/coronavirus-japan-to-close-all-public-schools-for-a-month-starting-march-2,
Japan,JP,,,"1,00",Social Distancing Encouraged,,25.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan#Government_response,
South Korea,KR,,,"1,00",Border Closing,,17.3.2020,,https://www.straitstimes.com/asia/east-asia/skorea-reports-84-new-coronavirus-cases-total-at-8320,
South Korea,KR,,,"1,00",Cluster Tracking and Containment,,20.1.2020,,https://www.bbc.com/news/world-asia-51836898,
Netherlands,NL,,,"1,00",Cancelation of Large Events,100,12.3.2020,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Netherlands,NL,,,"1,00",Daycare Closings,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NL,,,"1,00",Public Talk of Central Govt Figure, Prime Minister Mark Rutte,16.3.2020,,https://www.volkskrant.nl/gs-bea83379,
Netherlands,NL,,,"1,00",Public Talk of Central Govt Figure,King,20.3.2020,,https://nos.nl/l/2327794,
Netherlands,NL,,,"1,00",Restaurant/Bar Closure,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NL,,,"1,00",Border Closing,,17.3.2020,,https://www.reuters.com/article/us-health-coronavirus-netherlands-travel/netherlands-closes-borders-for-non-eu-travelers-nos-quotes-prime-minster-idUSKBN2143VF,
Netherlands,NL,,,"1,00",School Closings,,15.3.2020,,https://nos.nl/artikel/2327194-alle-scholen-en-horeca-tot-6-april-dicht-in-strijd-tegen-coronavirus.html,
Netherlands,NL,,,"1,00",Social Distancing Encouraged,,9.3.2020,,https://nos.nl/artikel/2327099-twee-nieuwe-corona-doden-155-geregistreerde-patienten-erbij.html,
Netherlands,NL,,,"1,00",University Closings,,12.3.2020,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Spain,ES,Madrid,29,"1,00",Border Closing,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,Basque Country,59,"0,11",Cancelation of Large Events,1000,10.3.2020,,https://www.reuters.com/article/us-health-coronavirus-spain-events/spain-bans-events-with-more-than-1000-people-in-coronavirus-risk-zones-idUSKBN20X1ZN,
Spain,ES,Madrid,29,"1,00",Cancelation of Large Events,1000,10.3.2020,,https://www.reuters.com/article/us-health-coronavirus-spain-events/spain-bans-events-with-more-than-1000-people-in-coronavirus-risk-zones-idUSKBN20X1ZN,
Spain,ES,La Rioja,27,"1,00",Cancelation of Large Events,1000,11.3.2020,,https://www.reuters.com/article/us-health-coronavirus-spain-events/spain-bans-events-with-more-than-1000-people-in-coronavirus-risk-zones-idUSKBN20X1ZN,
Spain,ES,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,14.3.2020,,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,
Spain,ES,Basque Country,59,"0,11",Daycare Closings,,10.3.2020,,https://www.thelocal.es/20200309/madrid-closes-schools-as-coronavirus-continues-spread-across-spain,
Spain,ES,Madrid,29,"1,00",Daycare Closings,,10.3.2020,,https://www.thelocal.es/20200309/madrid-closes-schools-as-coronavirus-continues-spread-across-spain,
Spain,ES,La Rioja,27,"1,00",Daycare Closings,,11.3.2020,,https://www.thelocal.es/20200309/madrid-closes-schools-as-coronavirus-continues-spread-across-spain,
Spain,ES,Madrid,29,"1,00",Restaurant/Bar Closure,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
